sp500,DGS10
-0.01106191,0.01
-0.004607185,0.05
-0.01267787,-0.03
0.0025699616,0.0
0.0026873797,-0.03
-0.0058960165,0.02
0.0004430685,-0.03
-0.006737254,-0.0
-0.0069144396,0.0
0.003478544,0.04
0.0030811145,-0.01
-0.002380011,0.01
-0.006158816,0.04
0.007646885,0.04
0.0013419986,0.01
-0.011279865,0.05
-0.01163573,-0.02
-0.011470751,-0.02
-0.0024358106,-0.02
0.0069466773,-0.03
-0.0063901693,0.0
-0.0029418338,-0.03
-0.003040448,-0.0
0.0056074765,0.0
0.009191288,-0.04
0.002355837,0.02
-0.008632571,0.08
-0.007496681,-0.11
0.0108632045,-0.04
0.009587699,-0.01
0.005280885,-0.03
0.008938247,-0.03
-0.0006658813,-0.11
-0.0022242276,0.01
0.002667195,0.01
-0.0058130454,0.01
0.0035687136,0.02
-0.0057177288,0.0
-0.0017788323,0.02
0.00041455083,-0.04
0.002621849,-0.01
0.0146849,0.0
0.0008416773,-0.01
-0.0123092355,0.01
0.0037880905,0.04
0.006634409,-0.01
0.010114062,-0.01
-0.0033613432,-0.03
-0.006450582,-0.05
0.005531579,-0.06
-0.0007192709,-0.0
-0.00092846353,-0.03
0.007477359,0.07
0.002657896,0.02
0.0023828913,0.03
0.0032030214,-0.01
0.002283604,0.04
-0.0012588217,0.06
-0.006782804,0.04
0.002787763,-0.09
0.011708095,0.01
-0.002141862,-0.04
-0.008464504,0.01
0.0039875875,0.02
0.006069674,-0.03
-0.010282117,0.03
-0.004117426,0.05
-0.003972443,0.0
-0.0034033281,-0.06
-0.01333188,0.03
0.0051668095,0.04
0.010250649,0.02
-0.0015073055,0.01
0.0040792464,0.05
-0.0081917625,0.07
0.00061352586,0.03
-0.0068815374,0.04
0.0003631079,-0.01
-0.008794979,-0.04
0.0024414174,0.02
-0.0027389268,0.0
-0.0011011098,0.02
-0.0023969111,0.02
-0.008318349,0.04
-0.0049516624,0.0
-0.006264168,-0.02
0.0028836445,0.02
0.0029733593,-0.04
-0.007700345,-0.02
-0.001379916,-0.09
-0.0032611152,-0.0
0.0061266045,0.05
0.011392417,-0.06
-0.0033287029,0.04
-0.0010894411,-0.04
-1.6323145e-05,-0.03
0.008114328,0.03
0.0029901986,-0.06
-0.0009109513,0.03
-0.0026787536,0.03
0.002985496,-0.02
0.0060295537,-0.04
0.0026891814,-0.01
-0.001168926,-0.04
0.005497033,0.01
-0.0018156607,-0.1
-0.003742679,-0.03
0.004808366,-0.02
-0.012312228,0.01
0.0027719631,0.08
-0.00055393006,0.02
-0.023042966,0.02
0.0006557846,-0.0
0.007830608,-0.02
-0.0103036575,0.05
-0.005062145,-0.02
-0.00619095,0.0
-0.00013471869,-0.0
-0.0046895384,0.0
-0.0004489354,-0.02
0.0075034206,-0.03
-0.0075584347,0.13
0.004034619,-0.01
0.004809286,-0.03
-0.011661426,0.03
-0.0005917755,-0.01
0.0010591545,-0.04
0.002996864,0.01
-0.00024291719,0.04
-0.004349015,-0.01
0.0004923485,-0.04
-0.005389365,0.01
0.00014967256,0.12
0.0043554627,-0.03
-0.013853631,-0.04
-0.0044518043,-0.02
-0.002102905,-0.04
-0.0017744495,-0.02
-0.0021660943,-0.01
0.007523213,0.06
0.0007930475,-0.03
0.0053916103,-0.04
0.016149273,0.05
0.0026829278,0.09
0.0036244586,0.02
-0.019819913,0.08
-0.0023557844,0.01
0.0021630356,-0.11
-0.003701941,0.03
-0.0026495815,-0.21
-0.002303421,0.07
-0.0047334842,-0.02
-0.0015657982,-0.01
-0.00762812,0.1
-0.01784056,0.01
0.0032259396,-0.02
0.0010643054,-0.1
0.011555994,0.02
-0.005201769,-0.02
0.008116337,-0.1
0.009107825,-0.03
-0.00070936314,-0.12
-0.012344548,0.01
-0.0028183595,0.03
0.012332477,0.0
-4.5369903e-05,-0.0
0.0042401752,-0.0
-0.015083347,0.08
0.0127647985,0.01
0.0076464037,0.01
-0.009719672,-0.01
0.005769662,0.06
0.0020868347,-0.04
-0.007464598,-0.0
0.0019340968,0.02
-0.0012539426,0.03
0.004842475,0.01
-0.014230497,-0.04
-0.0024287556,-0.03
-0.0013257442,0.03
0.0036829647,-0.07
0.002305948,0.02
0.0032518671,-0.04
0.010070128,-0.06
0.011114931,-0.03
-0.0077939876,0.0
0.010802375,-0.02
0.0024816156,0.04
0.0031345666,0.01
0.0021512313,-0.06
-0.0024609407,0.03
-0.007896047,0.01
-0.0008735047,-0.01
0.0030389589,-0.07
-0.0016817051,0.04
-0.007077675,-0.12
-0.007449449,-0.01
0.005959259,-0.09
0.0071577663,0.02
0.0069707884,-0.01
-0.0054663727,-0.0
-0.0013645082,-0.05
-0.0019752549,-0.03
-0.0043600877,0.02
0.002659063,0.0
-0.0026103747,-0.02
0.009461942,-0.1
0.004425901,-0.05
-0.00853639,0.09
-0.012141449,0.06
0.015792152,0.03
-0.00427238,0.01
0.004675207,-0.05
0.00013965167,-0.04
0.005415378,0.03
0.0031026432,-0.08
-0.0036341893,-0.03
-0.009193882,0.01
0.015942097,-0.04
-0.012927648,-0.01
0.0038195741,0.03
0.000529279,-0.05
0.0011083569,0.07
-0.01111183,0.06
0.007061064,0.06
0.0032974838,0.02
0.010987,0.03
0.003022059,-0.0
-0.015182235,-0.05
-0.01081711,0.01
-4.9555267e-05,-0.01
-0.000108245964,-0.0
0.009911608,-0.11
0.012876128,0.01
0.0010660739,-0.07
0.0016932522,-0.0
0.008852215,-0.05
-0.007439527,0.01
0.0038475294,-0.01
0.00086101354,0.01
0.0027066895,0.01
-0.0015254107,-0.06
0.0039087636,-0.11
0.0034427934,0.02
-0.0022422895,0.06
-0.002258242,0.01
0.00024351609,0.05
0.004266424,0.06
-0.0055950796,-0.02
0.01311534,-0.02
-0.0040997784,0.07
0.017942289,-0.04
-0.010172991,-0.0
-0.005270991,-0.01
0.0011273816,-0.02
-0.0014105701,-0.02
-0.00016533764,0.0
0.012520045,-0.05
-0.008947548,-0.01
0.0056250854,-0.01
-0.0030488942,-0.01
0.0020243446,0.01
0.00025976403,-0.02
5.358625e-05,0.02
-0.0018452919,0.02
0.021060651,-0.14
0.0011592688,0.03
0.008998299,-0.0
-0.0011177664,0.03
-0.012012488,0.02
-0.002030164,0.02
0.015596155,-0.05
-0.0022402531,0.02
-0.00606016,0.08
-0.017208962,0.1
-0.009021865,0.02
-0.007827251,0.02
-0.019259088,0.11
0.007803876,0.0
-0.0022784392,0.04
0.0134269465,-0.04
0.00094248226,0.05
-6.17216e-05,-0.01
0.009378744,-0.03
-0.00024679353,0.0
0.0050681075,0.03
0.0037961486,-0.0
-0.012839793,0.07
0.006002063,-0.08
-0.0012586345,-0.05
-0.004345936,-0.0
0.010598941,-0.13
0.0023993992,0.04
0.008548148,-0.01
