sp500,DGS10
0.0016424584,0.07
0.002762319,0.02
-0.002708879,-0.03
0.0014245718,-0.04
-0.0034911227,0.02
-0.006419675,-0.01
0.0006636686,-0.04
-0.0040679304,-0.02
-0.002232716,-0.0
0.005573324,-0.01
0.0057325,0.04
0.007349903,-0.02
0.0020472787,-0.05
-0.003251404,0.0
-0.0046855435,-0.06
-5.1405514e-05,0.05
-0.011163346,0.05
-0.00955044,0.05
-0.0053847264,0.02
0.008443449,0.04
0.008158507,-0.02
-0.009034343,0.01
-0.01716213,-0.02
0.0044402415,0.02
0.017447708,0.02
0.0069262716,-0.04
0.020224743,0.01
0.012310292,-0.04
-0.001704119,0.02
-0.0023710807,-0.04
0.00063583965,-0.06
0.0065414608,0.03
-0.0043889782,0.03
-0.0016027994,0.06
0.008025375,-0.01
0.00512536,-0.04
0.010932308,-0.04
-0.001951377,-0.04
0.0034166044,-0.05
0.008841827,0.04
0.00042719804,-0.01
0.010183765,-0.07
0.004676294,0.03
0.008453058,0.08
0.005860995,-0.05
-0.0024988102,-0.07
-0.002890628,0.01
-0.004485748,0.05
-0.009858958,0.03
0.009544003,0.1
0.008714265,0.0
0.001489388,0.0
-0.0003008398,-0.03
-0.010605909,0.0
0.00032695127,0.06
0.005322355,0.03
-0.00020561155,0.01
0.0032243447,-0.1
0.003472255,0.03
0.006361954,-0.03
-0.006029943,-0.06
-0.0022359574,0.02
-0.0019662066,-0.09
0.0045021847,0.06
0.000104589664,0.03
-0.0020335766,0.04
0.0019435742,0.04
0.009064919,0.05
-0.000614892,-0.02
-9.25381e-05,0.0
0.008837653,0.02
-0.0069701057,0.03
0.004120807,-0.01
0.0044049677,-0.03
-0.0032476182,0.02
0.0021865247,0.04
0.00023691912,0.0
0.0017699174,-0.01
-0.0026042527,-0.05
-0.0011092753,-0.07
-0.0006551879,0.02
-0.005149384,0.08
0.0035656434,0.05
0.0055712457,-0.01
0.010199601,-0.03
0.004316032,0.02
-0.00047910903,0.07
-0.010207639,-0.05
0.0016658836,0.03
0.0021587838,0.05
0.0077344365,-0.01
0.00666614,0.0
-0.0023444195,-0.03
-0.0008733262,0.01
-0.0032588947,-0.0
0.004263661,0.01
0.0043507414,0.04
0.002622356,0.01
-0.010302251,-0.0
-0.0026619218,-0.0
4.702757e-05,-0.0
0.017329771,-0.06
0.0011160144,0.0
-0.004440534,0.04
-0.0029727225,0.05
0.0056889975,-0.03
0.0033550719,-0.05
0.0018398528,0.01
0.0007272463,0.03
-0.013170186,-0.01
-0.015581503,0.01
0.004130648,-0.02
-0.0032073283,-0.03
0.00033488462,0.0
0.010229545,0.01
-0.00068664947,0.02
-0.0007157717,0.02
0.0001737235,-0.01
-0.004438982,-0.03
