sp500,DGS10
0.0041704383,0.06
-0.0047264867,0.02
-0.0012830622,0.01
-0.0031831802,-0.04
0.003544217,-0.01
0.0010404767,0.01
0.002134169,0.04
0.0039283424,0.04
0.006244661,-0.07
-0.0025628114,0.04
0.00022966618,0.07
0.009535982,0.0
0.005515952,0.01
0.0030251238,0.01
0.0006555506,-0.03
-0.0012507878,0.0
0.008626289,-0.14
-0.008188511,-0.03
0.00076926366,-0.01
0.003969591,0.01
0.006937197,-0.09
0.0015686447,-0.01
0.0049785557,-0.0
-0.00158541,-0.02
0.0032162287,-0.02
0.0060516587,-0.04
0.0032821586,-0.04
-0.0031526492,-0.01
0.00539612,-0.01
0.00083809847,0.09
0.0031498366,0.01
0.0020023833,-0.11
0.0007935416,-0.08
0.012525963,0.0
0.0035099671,-0.0
0.01038451,0.05
-0.00068035966,-0.0
0.00053184095,0.04
-0.00048089502,0.0
0.0023964224,0.01
0.0006078733,-0.02
0.0029642307,-0.03
0.00482235,0.01
0.0021346107,-0.0
-0.001519895,-0.05
0.0007716628,-0.01
-0.0028895563,0.07
-0.0034910575,0.1
-0.00030230658,0.01
-0.0019042677,-0.0
0.00069821335,-0.0
-0.0044928673,-0.0
-0.0042095073,0.03
0.013499534,0.03
0.007360958,-0.02
-0.0012184342,-0.08
0.0005655122,0.01
0.006767255,-0.01
0.0046329866,0.0
0.0062500546,0.01
-0.0012449212,-0.0
0.004437839,-0.06
0.00077076734,-0.0
-0.001321341,0.03
0.0021290549,-0.01
0.004368398,0.0
0.0041936683,-0.03
0.008525546,0.01
0.0035113166,0.0
-0.009252958,-0.01
-0.0024683645,0.01
-0.0085144285,-0.01
0.00018902429,0.02
0.0021272602,-0.0
0.0014675234,-0.04
0.005556967,-0.11
0.0053747576,-0.04
-0.00058893964,-0.01
-0.0033275045,0.01
0.009467372,0.03
-0.0036877852,0.03
0.0014307094,0.13
-0.0017770209,0.02
0.0014524127,-0.06
-0.0043202117,-0.06
0.00607923,-0.15
0.004771981,0.01
0.0032641382,-0.02
0.0022731416,-0.02
-0.006474425,-0.0
-0.0037583734,0.01
-0.008381409,0.03
0.0061860317,0.06
0.005256673,-0.0
0.0024283326,0.03
0.006732168,0.03
0.0023384881,0.03
0.0022385942,-0.0
-0.013601842,0.26
-0.004347794,-0.02
-0.006210285,-0.02
0.0025269894,-0.05
0.0025282279,-0.18
0.00767515,-0.09
0.018042168,-0.01
0.0061535756,-0.08
0.0014726794,-0.07
-0.0012012383,-0.0
0.001189919,0.05
0.012950241,-0.0
0.0018601663,0.07
0.008266835,-0.04
0.0029734953,-0.01
0.0038846505,-0.07
0.0098193595,-0.06
0.0052281166,-0.09
-0.0015371937,0.21
-0.002670942,0.08
-0.00016515283,0.06
-0.008591301,-0.06
0.0012180269,-0.15
0.004370036,-0.07
0.0050220736,0.05
-0.013194095,-0.04
0.006366911,0.03
0.005882403,-0.08
0.0016391947,-0.09
0.010245293,0.0
-0.0067741745,0.22
0.0052736355,-0.12
0.011855705,-0.15
0.0020913882,-0.04
-0.000986016,0.02
-0.0015292906,0.04
0.0059857466,-0.02
0.0035759462,0.03
0.004831743,-0.06
-0.011122639,-0.15
1.858105e-05,-0.05
0.004339631,-0.03
0.006509825,0.15
-0.003527008,0.03
0.015181817,-0.06
0.0002859435,-0.06
0.0029492404,-0.02
-0.0027248417,0.1
-0.0014413022,-0.02
0.0022325509,0.08
-0.0005343335,0.06
0.0044863024,-0.15
0.0023415464,-0.09
-0.0091799125,0.06
-0.0022029576,-0.01
-0.0063172937,0.03
0.018756129,-0.11
0.005500735,-0.06
-0.0057751616,-0.09
-0.0016835161,-0.04
0.0026239236,-0.03
-0.0056738984,-0.09
0.001429245,0.05
-0.0016002114,0.08
0.0032949867,-0.11
0.006026662,0.05
-0.0027974076,0.04
-0.0026316384,0.02
0.005748378,0.02
0.007890425,-0.04
-0.000791966,0.17
-0.0056780856,0.09
-0.011554904,0.11
-0.008995555,0.07
0.0029907378,-0.1
0.004645419,-0.04
0.011315306,-0.17
0.005625236,-0.06
0.0006849565,0.03
0.002249034,-0.12
0.0028609813,-0.06
0.0040848795,-0.1
0.007907121,-0.07
-0.0028971622,-0.03
0.0013862472,-0.04
0.008843894,-0.06
0.005803788,-0.01
0.001830048,0.04
0.0055222493,-0.12
0.0077896486,-0.22
0.0036564851,0.0
0.0013151279,0.11
0.006163331,-0.01
0.0060465066,-0.03
-0.014996541,0.22
-0.0014918527,0.01
-0.0010544684,0.02
-0.0020313067,0.05
-0.006507607,0.07
0.0056254887,-0.05
0.009695657,0.01
0.002276178,-0.18
-0.0039803903,-0.01
0.00587111,-0.01
0.014777022,0.01
0.0025364277,0.04
-0.0039106016,0.01
-0.0022411821,0.09
0.0043554967,-0.07
-0.016953783,-0.01
0.00483588,-0.03
-0.002291038,0.0
0.0017425839,-0.01
0.0062828967,-0.13
0.0017152986,0.04
0.005079425,0.01
-0.014413226,-0.04
-0.00020317166,0.05
0.008788567,0.01
0.001989909,0.0
0.005679112,-0.03
-0.00090296345,0.01
-0.0007801568,0.01
0.003572499,-0.1
-0.0010365852,-0.04
0.012162909,-0.04
0.00016505308,-0.01
0.00077988923,0.01
0.0014532425,-0.06
-0.00027648112,-0.05
-0.0024431366,0.04
0.00033948672,0.09
0.0036735064,0.05
0.0027086777,0.0
0.0036619292,-0.11
-0.0035717166,-0.02
0.0062848236,-0.01
-0.00641925,0.04
0.017067093,-0.0
0.0025893534,-0.03
0.0044900873,-0.05
-0.0015967833,-0.0
-0.00065201544,0.02
0.000731927,-0.05
0.0021922418,0.06
-0.0042544524,0.06
0.0011452566,-0.07
-3.4176424e-05,-0.03
-0.0019029785,0.02
0.005693117,0.04
-0.0053938515,0.12
0.0077770553,-0.02
-0.001775791,-0.05
-0.0011805126,0.03
-0.003968859,-0.02
-8.293387e-05,0.03
0.0040623173,0.01
-0.001983532,0.07
-0.002406368,0.04
-0.0048008705,0.02
-0.009271073,0.03
-0.0017797552,-0.05
0.010315551,-0.04
0.004529823,-0.08
0.0030224074,-0.1
-0.00031299642,-0.01
0.0043910053,-0.01
0.007868108,-0.04
0.008411025,-0.12
0.005707503,-0.13
0.004301308,0.07
-0.0040021315,0.06
0.0043409397,-0.03
0.0016801563,0.01
0.0016097656,0.04
-0.002707841,0.14
0.0011177392,0.03
0.00045516907,-0.01
-0.012548566,0.18
-0.0071965363,0.07
-0.0028838755,0.02
0.00852368,-0.14
-0.0008572098,-0.07
0.0030681351,-0.14
0.01176896,-0.03
0.0076317275,-0.0
-0.009400518,-0.06
0.0015466565,-0.11
0.008753305,-0.05
0.00980549,-0.06
-0.002573116,0.0
0.0027534552,-0.1
-0.010401494,0.21
0.0037925108,-0.19
0.006958761,-0.09
0.015718468,-0.16
0.0035773567,0.0
-0.00791118,0.16
0.00851224,0.04
0.008077319,-0.12
0.014103184,-0.23
0.002675686,-0.12
0.006570499,-0.07
0.0062303427,-0.03
0.006394235,0.03
-0.0022877883,0.23
0.00310433,0.02
0.0037920051,0.02
0.0042391974,-0.04
-0.013531301,0.28
-0.0065241726,0.01
0.021420987,-0.2
0.009632435,-0.15
0.0128689725,-0.25
0.008984134,0.01
-0.0077408324,0.21
0.008016279,-0.01
-0.005682309,0.09
0.0010083957,0.07
0.009788837,-0.09
0.0030336704,-0.1
-0.004697047,0.13
-0.013537731,0.25
0.0038978143,-0.04
-0.004020296,0.01
0.0021188748,-0.18
0.00766483,-0.1
-0.009389584,0.15
0.004147003,0.05
0.007854872,-0.07
-0.0025877468,-0.13
0.025484534,-0.45
0.0042205374,-0.14
0.00031301775,0.1
0.004891608,0.11
0.004640873,0.12
0.008639726,-0.24
0.016043479,-0.35
0.017812137,-0.24
0.0060704644,0.01
-0.0054959264,0.35
0.01478179,-0.08
0.007171722,-0.03
0.007837631,-0.23
-0.00044217482,-0.02
0.0029705432,0.03
-0.0106404945,0.26
-0.004510822,0.31
0.01611323,-0.21
0.02092657,-0.51
-0.0064785415,-0.04
-0.003653528,0.08
-0.013409232,0.41
0.024347767,-0.06
0.022804398,-0.53
0.028747717,-0.56
0.015375768,-0.1
-0.00420047,0.11
-0.00438857,0.36
0.036678456,-0.39
0.02154922,-0.36
0.016103804,-0.43
-0.006643814,0.14
-0.014527611,0.47
0.0056077945,0.18
0.03135534,-0.26
0.034419797,-0.63
0.00928445,-0.26
0.010744898,-0.11
-0.0048275716,0.29
0.0120834,0.32
0.0459099,-0.3
0.01172488,-0.6
0.013879894,-0.24
-0.0034103268,0.17
-0.034738578,0.63
0.045211703,0.27
0.052064404,-0.74
0.011880621,-0.7
0.033976074,-0.37
-0.00014382871,-0.01
-0.032581184,0.93
0.07005155,-0.42
0.038464043,-0.52
-0.0035488869,-0.37
0.007627364,0.3
-0.034849863,0.28
0.00091686205,0.52
0.061197665,-0.51
0.039543282,-0.58
0.009423507,-0.34
0.00471478,-0.02
-0.028092887,0.75
-0.010971824,0.18
0.080757685,-0.22
0.03680191,-0.75
0.0030332124,-0.09
-0.01281645,0.18
-0.013214013,0.34
0.04716155,-0.1
0.060346864,-0.46
-0.019822765,-0.34
0.02527167,-0.27
-0.01514911,0.31
-0.046277765,0.6
0.05818581,-0.19
0.04158772,-0.42
-0.037255228,0.11
0.013825744,-0.05
-0.008425502,-0.01
-0.016537571,0.33
0.04306846,-0.15
0.023238827,-0.31
-0.0024317931,0.03
0.0038197513,0.14
-0.033455476,0.11
-0.0082441885,0.3
0.05297941,-0.19
0.00525114,-0.38
0.003053377,0.13
0.013488268,0.11
0.0040260823,-0.22
-0.014520829,0.29
0.028491057,-0.37
-0.012144573,0.02
0.030813867,0.01
-0.0036885615,0.07
-0.006374039,0.39
-0.001829446,-0.12
0.035567865,-0.35
0.0128966635,-0.19
0.002823498,-0.14
-0.025712268,0.26
0.024201868,0.11
0.028383851,-0.3
0.03193427,-0.36
-0.008312892,0.24
-0.0057337577,-0.0
-0.021834893,0.11
0.001923313,-0.05
0.01733849,-0.07
0.01217137,-0.24
-0.0086805085,0.12
-0.012897719,0.33
-0.009546258,-0.06
-0.007858443,0.16
0.035719287,-0.35
-0.0015494028,-0.04
0.014556303,0.09
-0.007838457,0.21
-0.008917582,0.06
0.016858766,-0.12
0.025282143,-0.7
-0.004236359,-0.21
0.030002424,0.25
-0.0032444652,0.04
0.027545046,0.18
0.016977567,-0.5
0.02441749,-0.47
0.019584516,-0.04
-0.003314435,0.07
-0.014007764,0.45
0.02781655,-0.26
0.006358531,0.04
0.026190335,-0.43
-0.01024734,0.21
-0.012532482,0.2
0.00078723836,0.13
0.003336328,-0.04
0.026755968,-0.21
0.007835669,-0.42
0.01175334,-0.13
0.006345214,0.49
-0.010360357,0.07
0.032550383,-0.04
0.036807843,-0.66
-0.01592002,0.07
-0.012072141,0.24
-0.013791694,0.33
0.014373274,0.13
0.0483517,-0.56
0.016431933,-0.7
0.022893636,-0.47
0.020608155,0.27
-0.054143734,0.61
0.06572007,-0.06
0.017444171,-0.81
0.028382579,-0.6
0.006971587,0.1
-0.015734298,0.09
0.0015942046,0.6
0.055988435,-0.9
0.03172154,-0.4
0.03076988,-0.42
-0.019722799,0.19
-0.06845258,0.98
0.03799714,0.29
0.0054730494,-0.31
0.06432471,-0.59
-0.005411049,0.14
0.025739064,-0.32
0.0016814341,0.71
-0.01596757,0.08
0.050325125,-0.15
0.03786768,-0.41
-0.0027261195,0.23
-0.028447874,0.06
-0.031041687,0.68
0.03036568,-0.05
0.08053396,-0.59
0.0020859968,-0.56
0.031131301,-0.27
-0.02502326,0.35
-0.05897763,0.77
0.07685959,0.36
0.008075725,-0.55
0.009339208,-0.53
0.0075537395,0.04
0.013269343,0.03
-0.017989386,0.59
0.035564024,-0.37
0.030550437,-0.7
0.015078687,-0.65
-0.005868562,-0.17
-0.054266185,0.83
0.03484354,0.35
0.046418384,-0.41
0.008033278,-0.33
-0.014032302,-0.08
0.036088914,-0.18
0.0041955453,0.43
0.007617656,0.06
0.03530688,0.3
0.013936634,-0.52
-0.018741846,-0.08
0.011574115,0.08
-0.010665059,0.17
0.0007893753,0.37
0.06774958,-0.31
0.0059065544,-0.78
0.039918788,-0.52
-0.0069016325,0.05
-0.021473948,0.67
0.04381638,0.25
0.027162803,-0.42
-0.008968724,-0.39
0.016506046,-0.01
-0.0019897453,-0.02
-0.0155918235,0.4
0.055325035,-0.32
0.004775067,-0.19
-0.0004088844,-0.29
0.011561477,0.05
-0.032593884,0.28
-0.0039914,0.26
0.020868657,0.4
0.06410913,-0.38
-0.01771857,-0.09
0.027122507,-0.07
-0.020688197,0.26
-0.020987209,0.51
0.04097019,0.04
0.018650021,-0.71
0.022888418,-0.52
0.010076598,-0.31
-0.0061946646,0.44
0.010521713,0.37
0.07934613,-0.24
-0.007480882,-0.53
0.0076857037,-0.21
-0.0018669121,0.02
-0.028045656,0.52
0.045848623,0.12
0.036537938,-0.18
-0.0011632347,-0.17
-0.019397045,0.15
0.019900147,-0.06
-0.026827235,0.2
0.0031240901,0.52
0.040257514,-0.18
-0.0024143104,-0.32
0.020236135,0.03
-0.03070064,0.06
0.009202976,0.06
0.0021097811,0.49
0.043823577,-0.42
0.0045606284,-0.29
0.044529945,-0.27
0.006343224,-0.0
-0.02173346,0.42
0.03698777,-0.07
0.01047412,-0.27
