sp500,DGS10
0.0074696713,0.1
-0.005090585,-0.02
-0.0017383049,-0.03
0.0072454605,0.03
-0.0044037784,-0.01
-0.0013831153,0.02
0.022386402,0.02
-0.0014181304,0.05
-0.0023138025,0.02
0.007842657,0.01
-0.004432236,0.03
-0.0040648887,-0.01
0.009843595,0.01
-0.010434913,-0.02
0.0019539343,-0.03
-0.0077755176,-0.01
-0.0022469694,-0.06
-0.0022105598,0.05
0.0019975468,0.04
0.008485398,-0.09
0.013557901,0.03
0.001549079,0.02
-0.003932822,0.04
0.010970741,-0.01
-0.0005731307,0.06
-0.021501096,0.11
-0.010313837,-0.17
-0.014178861,-0.09
-0.006813296,-0.08
-0.006794583,0.01
0.0064818123,0.05
0.0053587426,0.07
0.0071741017,-0.16
-0.006346345,-0.03
-7.935928e-05,0.02
0.00014538944,0.0
0.008789722,-0.01
0.0009136517,-0.05
-4.1066087e-06,0.01
0.012761594,-0.04
0.008742276,-0.07
0.021067346,0.04
-0.0014924564,0.02
0.009163936,0.02
-0.015812168,-0.01
0.010023062,-0.02
-0.002945799,0.02
-0.010101414,-0.04
0.004449096,0.02
0.0011390406,0.04
-0.00035689457,-0.02
-0.0124315685,0.04
-0.00556378,-0.01
-0.0038729855,-0.02
0.0035501653,-0.02
-0.013165279,0.01
-0.0018365645,-0.05
0.016264103,0.01
0.033498835,0.09
0.0065981564,0.0
0.004686303,-0.01
0.0019051555,0.01
0.01904373,-0.14
-0.019460948,-0.11
0.0058733146,0.05
0.003532046,-0.02
-0.0045497543,-0.01
0.000106379855,-0.0
0.0016638321,0.05
-0.00013467105,0.04
-0.0018762165,-0.0
0.006428772,-0.01
0.0022193845,-0.02
-0.0014940666,-0.05
-0.0014929384,0.04
0.0013813276,-0.05
0.00057618966,-0.03
0.014016201,0.01
-0.0069411853,0.13
-0.002005238,0.03
0.00088506215,0.02
-0.0009301113,-0.05
0.012517961,0.0
0.004683486,0.01
-0.00024201057,-0.0
-0.0030143699,0.06
-0.00591472,-0.01
0.0042059775,0.09
-0.017178163,0.04
-0.01719472,0.05
0.017246597,0.13
-0.0039269924,-0.01
-0.00031674892,-0.09
-0.0075620464,0.01
0.012566317,-0.04
-0.0047710882,0.11
-0.0345636,-0.02
0.0033081188,0.03
0.00014298025,0.01
0.0028832634,0.01
0.013729331,-0.0
-0.012663205,-0.04
-0.0004012683,0.0
-0.00023902027,-0.02
0.0022196826,0.01
0.00010864134,-0.0
0.006128699,0.0
0.00095476676,-0.01
0.011741814,0.04
0.012713777,-0.01
-0.0039891466,0.0
0.02055911,0.09
0.0009337116,-0.01
0.002618331,-0.03
-0.0047149495,0.0
-0.0035073664,-0.03
0.002566249,0.04
0.018418802,-0.04
0.009941098,-0.01
0.004603426,-0.02
-0.0026935702,-0.03
0.00092090096,-0.03
-0.014847175,0.01
-0.0028833868,0.0
-0.0009132144,0.04
-0.002752684,0.01
-0.008163517,0.03
0.0019959752,0.0
-0.0009106415,0.07
0.0036313948,0.02
0.0006386634,0.0
0.002068307,0.06
0.007901754,-0.06
0.010852056,-0.02
0.0033154818,-0.03
-0.0054606297,-0.01
0.0037355144,-0.13
-0.0020162961,0.0
0.012055012,0.07
-0.0028030411,0.01
0.0009407153,-0.01
0.0037584133,-0.01
0.009798066,0.0
-0.02450337,-0.23
0.0014034731,0.05
0.00029380893,0.02
0.009446169,0.02
0.0028559808,-0.08
0.002951458,-0.02
-0.005731381,-0.01
-0.018332865,0.08
0.002585745,0.07
0.0034798933,0.12
-0.0072100004,-0.02
0.00075218466,-0.06
0.016654646,0.07
-0.004234684,0.02
-0.0035258564,0.03
-0.0028125048,-0.0
0.0024110554,-0.05
0.0037907697,-0.01
0.016919773,-0.11
-0.0032278178,-0.06
0.0010748302,0.0
-0.0052447035,0.04
-0.00048770686,0.01
0.0031001265,0.04
-0.013785861,0.22
0.008655752,-0.09
-0.0062312745,-0.0
0.0055561676,-0.03
0.011868723,-0.07
0.017531758,0.01
0.018710803,0.02
-0.0027608862,0.03
-0.0021751919,0.29
-0.0050588935,0.01
-0.011103802,-0.02
-0.0035041058,-0.02
0.019265736,0.05
-0.0105070025,-0.02
-0.008515747,0.03
0.0041846517,0.04
0.002596661,-0.08
0.009724874,0.02
0.009199136,0.08
-0.006364888,0.01
-0.0034612152,-0.03
0.004355726,0.03
-0.004602829,0.08
0.0033410867,-0.04
-0.013072094,0.04
-0.0019593216,0.04
0.022618407,-0.07
0.015735114,0.0
0.0025514201,0.01
-0.00051907264,-0.03
0.0039725695,0.01
-0.0028365375,-0.06
-0.003077108,-0.07
-0.010561122,0.06
-0.028480114,0.02
0.0098388875,0.1
0.011470849,-0.02
-0.0035882713,-0.06
0.004270232,0.03
-0.00031636807,0.01
-0.00080639357,-0.08
0.006273154,-0.04
0.0037851017,-0.04
-0.008135797,0.05
0.002638911,-0.02
-0.0050665555,-0.02
0.009690431,-0.02
0.009425996,0.07
0.009139754,-0.02
0.016343454,-0.0
-0.003278769,-0.07
0.0034906934,-0.03
-0.00494816,0.05
-0.0045985105,0.02
0.0033715689,-0.05
0.0013005601,-0.03
-0.007383756,0.06
0.027664766,0.02
-0.04838066,0.01
-0.0035250005,0.02
-0.015915344,-0.05
-0.0015658452,0.18
-0.021871049,0.11
-0.005544551,0.16
-0.0010683188,0.01
-0.0015399319,-0.01
0.0028081592,0.03
-0.0022684499,0.03
0.0010669196,-0.05
0.0025046878,-0.04
-0.009103914,-0.01
-0.0037901942,-0.01
-0.0025455658,-0.04
-0.0017956985,0.02
-0.0010598912,0.0
-0.004581169,0.02
0.0035417625,0.02
0.0018959732,0.0
0.0016871525,-0.0
0.029624874,0.0
-0.0062729074,-0.0
-0.0045007593,0.04
0.00023782722,0.04
-0.0021614735,-0.01
0.0139921345,-0.03
0.0079066,-0.06
0.0052159694,-0.06
0.0043088323,-0.02
0.009532045,-0.01
-0.016901607,-0.0
0.0038151708,0.09
-0.005503661,-0.0
-0.002713067,0.03
-0.008613504,-0.11
0.0030405647,-0.02
-0.0021050568,0.04
-0.0025277534,-0.03
0.014096418,-0.01
0.007148064,-0.03
0.0019995645,-0.26
0.0026143068,-0.03
-0.010234162,0.2
-0.002365938,0.07
-0.0044717267,0.03
-0.015051217,0.09
0.0018064204,-0.01
0.010744586,0.06
-0.010978246,0.03
-0.0009827501,-0.01
0.028471727,-0.04
-0.0018766875,-0.1
0.03746201,-0.3
0.0015635242,-0.05
-0.018071717,-0.01
-0.00546047,0.15
0.0073527154,0.05
-0.006037824,-0.02
-0.003862619,-0.02
0.002962341,-0.02
0.0073436536,-0.01
-0.014917803,0.04
-0.0007232268,0.03
0.0024475255,-0.13
0.0043350477,0.0
-0.002324312,-0.08
0.006829277,0.1
-0.013473033,0.23
-0.003036478,0.04
0.002509262,0.01
0.010380532,0.05
-0.011847161,-0.11
-0.002782863,0.03
0.004661163,-0.05
0.013043854,-0.01
0.0006133186,0.03
0.015272771,-0.0
0.018356476,-0.2
0.0029257904,0.04
-0.0012140311,-0.04
-0.004387935,0.03
-0.0031429129,0.08
0.00016430265,0.03
0.0052748104,0.07
-0.004288075,0.04
-0.0029914114,0.1
-0.0016766168,-0.03
-0.00898724,0.0
0.01023431,-0.04
0.010542319,0.01
0.0016349471,0.01
0.0030245665,-0.05
0.0020670346,-0.01
0.0055724164,0.07
-0.0078070755,-0.04
-0.0037827287,0.03
-0.002712742,0.01
0.0051308577,0.01
0.00350118,-0.04
-0.008808726,-0.01
0.009029667,-0.02
0.0025526644,0.0
-0.017018406,0.02
-0.0036446252,0.04
-0.0057789865,-0.0
-0.012777862,-0.05
0.015051279,-0.0
-0.0058280006,0.04
0.0042114146,0.03
0.007786412,0.0
0.018100735,-0.04
0.027785523,-0.09
-0.012441809,-0.04
0.008519149,-0.02
-0.0020990307,0.04
-0.0072783036,-0.02
0.006907557,-0.0
0.015263084,-0.1
-0.005181055,0.06
0.024894726,-0.04
0.0041689263,-0.11
-0.004958961,-0.09
7.206062e-05,0.02
-0.0009819207,0.12
0.008194488,-0.07
0.006492444,-0.02
0.00025958652,-0.01
-0.00978463,-0.02
-0.008936182,0.02
0.009601742,0.01
-0.0055129603,0.01
0.014891402,-0.04
-0.0009442491,0.01
-0.007478137,-0.02
0.021825088,0.16
-0.0031527304,-0.03
0.001112073,0.0
0.0014545431,0.05
-0.0055001024,0.02
0.004052153,0.01
-0.013409347,-0.01
-0.0102296835,-0.01
-0.012929267,0.09
-0.009116258,0.02
-0.014275368,-0.03
-0.005198678,-0.02
0.009601471,0.0
0.0032253014,0.01
-0.003282858,0.0
0.0034384602,0.03
0.006804806,0.04
0.0022807769,-0.02
-0.00299293,-0.03
0.005395302,-0.01
-0.00031029992,-0.01
0.008089856,-0.1
-0.0028696167,-0.02
-0.010011647,-0.0
0.01413082,-0.04
0.0024026758,-0.08
0.006437527,0.03
0.009090838,-0.06
0.009230884,-0.07
-0.0061175977,-0.01
-0.03683296,-0.06
0.037407815,0.17
-0.0062760096,-0.0
0.004495555,-0.02
0.007549799,-0.01
-0.010680298,-0.06
0.009091866,0.03
0.0039557735,-0.04
-0.0016726545,0.04
-0.0014148516,0.07
0.0012886507,-0.01
0.0011225089,-0.01
-0.0038210321,-0.0
-0.0024193688,0.0
0.0011390471,0.02
-0.035463355,-0.03
0.01602236,-0.05
0.0050006434,0.0
0.0072755744,-0.07
0.005428728,-0.02
-0.0015410032,-0.0
0.009764858,-0.06
-0.0061364365,0.01
0.001625275,-0.01
-0.004125054,-0.03
0.021288231,0.02
-0.00012893317,-0.05
-0.0014096457,-0.04
0.013660442,-0.05
0.0047595515,0.12
0.0010973911,-0.04
-0.0009195099,0.01
-0.0008449722,0.04
-0.03182155,0.0
0.0028894194,0.03
-0.0011089516,0.07
0.008382583,-0.06
-0.0076698516,-0.01
-0.0037439284,-0.02
0.00030856166,0.09
-0.01737898,0.02
0.012195641,-0.02
0.0052571245,-0.02
0.016919358,0.05
0.008610456,0.03
-0.03561411,0.04
-0.001885523,0.02
0.017148744,-0.06
0.002104021,0.0
0.0011880682,0.01
-0.0013049402,0.01
-0.0030062501,0.03
-0.043420997,0.02
0.0009976418,0.01
0.029749978,0.05
-0.000775805,0.01
0.0026272978,-0.02
-0.005712986,-0.0
0.0006496736,0.05
-0.018252632,0.1
-0.004078667,-0.07
-0.010889157,-0.07
-0.010921839,0.0
0.01297842,0.05
-0.039546363,0.02
-0.002140583,0.03
0.003169675,-0.0
0.0014123536,0.02
0.013887854,-0.04
0.008896099,-0.1
-0.004532765,-0.01
0.024496444,-0.01
0.013221649,-0.05
0.0032299561,-0.0
0.00073444576,0.0
0.0011725065,-0.05
-0.003225617,0.04
0.00093452184,-0.05
-0.00015795638,-0.0
-0.0069417916,0.06
0.005262838,-0.07
-0.0010325216,0.02
-0.0031731129,0.01
0.017900944,-0.04
-0.0001533932,0.0
-0.012862708,-0.08
0.0036103022,0.08
-0.004228345,-0.04
-0.000219915,-0.03
0.0013372069,-0.04
0.014115611,-0.06
0.0021022959,-0.06
0.0049308906,0.04
-0.0066844216,0.03
0.0056685125,0.05
0.026171817,-0.05
0.005157886,0.03
-0.006555315,0.03
-0.0047786683,-0.0
-0.00647389,0.05
0.0009374072,-0.01
-0.02368897,0.03
0.012606247,-0.14
-0.00044764386,0.01
-0.03169962,0.1
0.0027200277,-0.02
0.00012251214,-0.04
0.025725096,-0.29
0.0068141995,0.02
0.0012474067,-0.04
0.0070526795,0.01
-0.016451249,0.02
0.008023752,0.05
-0.0036116894,-0.06
-0.018504128,0.02
0.010590725,-0.01
0.0006730653,0.03
0.006290119,0.13
0.004735313,0.09
-0.007107246,0.09
-0.0016828052,-0.02
0.01273455,0.07
0.008981448,0.03
-0.07346554,0.15
-0.007882016,-0.05
-0.005123374,-0.0
-0.0017180127,-0.02
0.004112676,0.01
0.011130023,-0.13
0.0036399416,-0.05
0.0012081867,0.02
0.0027766498,-0.04
-0.002202435,-0.0
0.007889794,-0.05
0.01635232,0.03
0.004379583,0.02
0.00521895,-0.01
-0.0010975939,-0.01
-0.006645261,0.08
0.007261509,0.06
0.024596365,-0.09
0.010816243,0.04
0.0036085173,0.03
0.006685866,0.04
-0.0077315415,0.0
0.007858222,0.02
0.019330384,-0.03
-0.0064515867,-0.01
0.005185583,0.02
0.008543365,0.05
-0.0068572373,-0.03
0.0007823907,-0.04
-0.000988717,0.02
-0.007122935,0.05
-0.010065763,0.05
0.004781903,0.03
0.012384451,0.1
-0.0010105539,-0.04
-0.04230622,0.14
0.008113078,0.05
-0.009369868,0.05
0.0033832877,-0.02
0.012949745,-0.17
0.000118751894,-0.05
-0.0018493523,-0.01
0.003076348,0.02
0.0064948793,0.0
-0.0036460753,-0.04
0.0002875172,0.06
-0.002486669,0.03
-0.0009134216,-0.01
0.005638395,-0.13
-0.0012118178,-0.02
-0.009133853,0.03
0.007076771,-0.06
0.0027891677,0.04
-0.00467423,-0.01
-0.0012401798,0.07
-0.0038595414,-0.03
-0.004103367,0.08
0.001064598,-0.04
-0.0006053345,-0.03
-0.0026851748,-0.03
-0.012420305,0.0
-0.011217686,-0.07
0.0066777775,0.0
0.00028642637,0.01
0.0025699153,-0.02
-0.013664167,-0.02
0.0054578492,0.02
0.0047119535,-0.05
-0.004342479,0.02
-0.011092017,-0.03
0.009500896,-0.0
-0.0042601624,-0.02
0.0071428414,-0.11
0.0031945864,0.0
-0.00045530626,0.14
-0.0063809925,-0.03
-0.0062705353,0.09
0.011121139,-0.43
0.008736571,-0.12
0.004334457,-0.05
0.023393052,0.02
0.0017438289,0.04
-0.01735389,0.08
-0.009262256,0.08
-0.00044696557,0.02
0.01372029,-0.03
0.0065764496,-0.0
0.0053982027,0.01
0.010210118,-0.02
0.009555842,-0.05
0.016630797,-0.21
0.0040783742,-0.08
0.007862674,0.06
-0.011094552,0.38
-0.013931261,-0.01
0.0018591242,0.04
-0.011735585,0.05
-0.00048172503,0.01
-0.006046019,-0.02
0.0004219461,-0.04
-0.003387737,0.03
-0.0034969673,0.01
0.014677343,0.11
0.025253369,-0.05
-0.028618678,0.1
0.006447904,0.04
-0.0018359519,0.08
-0.013050152,0.06
0.012339776,-0.12
-0.004841367,0.02
0.009024493,-0.03
0.0058728345,0.03
-0.0046283635,0.03
0.00014179718,-0.02
-0.016938888,-0.02
0.0005368133,-0.02
0.009516547,-0.23
-0.003173214,-0.01
-0.004204301,-0.01
-0.0073418748,0.32
0.0026489114,-0.04
-0.003555322,-0.02
-0.0032471507,0.03
0.010015816,-0.01
0.0067151347,-0.05
-0.00042189664,-0.15
-0.0061744163,0.03
-0.0029966063,-0.02
0.007945567,0.04
0.007409188,0.02
0.0026502078,0.11
0.00043007632,-0.04
-0.006445468,0.02
-0.0007722939,0.01
-0.0028348374,-0.02
0.00622565,0.02
0.007244196,-0.03
0.0026758513,-0.05
0.008988262,-0.01
-0.0008802238,0.02
-0.0019681267,0.18
0.00080319634,-0.02
0.0036214609,0.01
-0.0028702999,-0.03
0.026176482,-0.05
0.005276975,0.11
0.010095535,0.01
0.005689607,-0.07
0.011447851,0.04
-1.287894e-05,-0.0
0.00779156,0.05
-0.004183039,-0.01
-0.004499956,0.04
0.008065573,-0.11
-0.004113385,-0.03
0.005420221,-0.01
-0.015797578,0.03
0.009860337,0.42
-0.0017399456,-0.03
-0.0047465474,0.04
0.0002345292,0.01
0.0053185686,-0.01
-0.0002960174,-0.13
-0.0019841539,-0.05
0.010262046,-0.01
0.016234541,0.02
-0.00095980335,-0.04
-0.012643633,-0.0
-0.008946093,0.02
0.00885208,0.13
-0.0029974552,-0.04
0.0018321896,-0.06
-0.008000994,-0.26
-0.064907715,-0.31
-0.018393658,-0.03
0.0032752343,-0.03
0.006678166,0.01
0.005149308,-0.02
0.0073666526,0.0
0.00048493303,0.04
-0.01941533,0.06
0.019402917,0.09
-0.009480852,0.01
-0.004495694,-0.02
0.0053423336,-0.06
-0.002348966,0.02
-0.004570936,-0.01
0.004308456,-0.0
0.0033316384,-0.01
-0.000650901,-0.06
0.0031666998,-0.01
0.0031238855,0.03
0.006759886,-0.07
-0.0061957682,-0.02
0.011116435,-0.05
0.00079980475,0.08
0.0010371609,-0.0
-0.00079420966,0.0
-0.01398362,0.09
0.0064298883,0.13
0.002257427,-0.02
-0.0014069395,-0.06
-0.01398122,0.14
0.021932641,-0.01
0.003393494,0.02
0.0026029637,0.03
-0.010061261,-0.01
0.012206672,-0.05
0.018605186,-0.02
0.0032588737,0.02
-0.0034662806,0.0
0.0028599724,-0.02
-0.004244383,0.06
-0.009748544,-0.05
-0.0019409048,-0.01
0.002397404,-0.0
8.125411e-06,0.11
0.0009914327,-0.02
0.0034018815,-0.06
-0.06208744,-0.08
-0.016509319,-0.12
0.0027868873,0.03
0.014323797,0.05
-0.05632985,-0.07
-0.011768987,-0.01
0.07075946,0.21
-0.0003237371,0.26
-0.0064724116,-0.06
0.006922668,-0.03
-0.011437256,0.02
0.02198137,-0.04
0.0092742145,-0.13
0.0013620917,0.05
0.0027381321,0.08
0.00363291,-0.14
-0.002031316,-0.02
0.004939012,0.02
0.005429521,-0.06
-0.001401932,-0.01
0.001587796,-0.03
-0.006328296,-0.0
0.0020524869,-0.02
0.001872518,0.03
-0.006165798,-0.03
0.01654655,0.02
0.009265768,0.18
-0.007329328,0.01
-0.0019015154,0.03
-0.012686541,-0.15
-0.008524537,0.01
0.0044556526,0.02
0.0016150436,0.09
0.0014892478,0.16
0.002538438,0.02
-0.00575174,0.0
-0.018676214,0.11
0.010803893,-0.12
-0.013415745,-0.03
0.0020529164,-0.03
-0.005973659,-0.11
-0.00023758574,0.04
-0.006993178,-0.07
0.007923551,-0.04
0.00296481,-0.01
0.002657502,0.1
0.010898871,0.05
-0.005886425,0.29
-0.009568945,0.08
-0.0021372456,-0.03
-0.009872736,-0.02
0.000789724,-0.03
0.004895203,-0.02
0.0016522123,0.04
0.002365603,-0.03
0.00088053267,-0.03
0.0052862396,0.01
-0.0018674425,-0.01
9.569782e-05,0.03
0.0069977855,-0.03
-0.004332715,0.06
0.00037952987,0.02
0.0074380627,-0.01
0.0053551993,0.0
0.0006760721,-0.05
0.0013083703,-0.02
-0.012258824,-0.04
0.010930537,0.08
-0.026989682,-0.05
-2.773691e-05,0.04
-0.006512711,0.0
0.004659031,0.05
0.0008623078,0.06
0.0011780715,-0.05
-0.0012084972,-0.04
-0.0074925167,0.02
