sp500,DGS10
0.0063007795,-0.01
0.0017231021,0.03
0.00590718,-0.01
0.0052947244,0.0
-0.00093970145,-0.02
-0.00047793903,-0.02
-0.0018703694,-0.08
0.010090453,-0.07
-0.0024643661,0.06
-0.0077023455,-0.09
0.0103026945,0.02
-0.00085658743,-0.0
-0.00032073114,0.02
0.0054784114,-0.04
0.0052049407,0.02
-0.009870794,0.01
-0.0075676343,0.02
0.016875582,0.04
0.006977364,0.04
-0.0065932707,0.13
0.0033001946,0.07
0.00022767266,-0.02
0.017366309,-0.05
-0.007827749,0.0
-0.0005240243,-0.04
-7.8074285e-05,-0.01
-0.00021195441,-0.05
0.0006991301,-0.0
0.003960382,0.01
0.007031818,0.03
0.0064862412,-0.09
-0.0041448106,0.01
-0.0015320163,-0.02
-0.0011805564,-0.03
-0.0005363467,0.02
0.00087904383,-0.03
0.0033003134,-0.0
0.0005759399,0.09
0.0072214603,0.11
0.0050711967,0.04
0.006401875,0.0
0.0031469008,-0.01
-0.010115935,-0.06
-0.0012159352,-0.05
-0.00718091,-0.09
-0.012831382,-0.28
-0.0036284425,0.0
0.0041387086,0.01
-0.0016331314,-0.03
-0.0017778891,-0.12
-0.002473371,-0.04
0.008021409,0.01
-0.004408421,-0.02
-0.009536671,-0.06
-0.018900054,-0.16
-0.006390538,0.07
-0.0033642072,-0.0
-0.0026461068,0.01
0.00968583,0.04
0.00144114,-0.0
0.0038517,-0.02
0.00049191376,0.0
0.001120433,-0.02
0.0012071781,-0.01
0.0026460346,0.03
0.0012667277,0.03
0.0023910804,-0.07
-0.00350803,0.0
-0.001925757,0.0
0.0064936858,-0.02
0.0092091,-0.05
0.009444884,-0.04
0.009020621,-0.03
0.0025137858,0.02
0.004966304,0.0
-0.008667503,0.2
-0.0013405755,0.08
0.0030195382,0.01
-0.0031381482,0.04
-0.0044435,-0.01
-0.019908018,0.02
-0.0387785,0.01
-0.022673681,-0.11
0.00655982,-0.06
0.005336553,0.06
0.0043293564,0.05
-0.02194028,0.02
0.0010472182,0.04
-0.0057200175,0.0
0.0033714077,0.09
0.004174026,-0.02
-0.0019151816,-0.02
0.0018551871,0.11
-0.005896502,0.07
-0.017799009,0.09
-0.016658666,-0.02
0.0061798147,-0.13
-0.012262039,-0.03
0.01152085,0.03
-0.0018973156,-0.14
0.0024070335,0.0
0.009466582,0.01
0.0019328111,0.01
-0.014187447,-0.08
-0.0024198336,-0.01
0.0016778045,0.02
0.0013369926,0.02
0.0041946084,-0.03
0.005860989,0.06
-0.004999591,0.09
0.019856177,0.0
-0.0029368778,0.07
0.00010564251,0.03
-0.0070425123,0.01
-0.0062516215,-0.03
0.007482561,-0.02
0.0017190131,0.0
0.0060556442,-0.03
0.0067191306,0.06
0.0013279847,-0.02
0.0069979215,0.05
0.00432829,0.0
-0.006241453,-0.03
-0.0023581404,0.01
0.0063792397,-0.01
0.0069771125,-0.05
-0.0024526413,-0.05
0.030823462,0.1
-0.010445302,-0.1
0.029047225,0.16
-0.01782729,-0.23
-0.014127076,0.41
-0.0063665546,-0.0
-0.0138996355,0.09
0.00047698364,0.02
-0.0011981045,-0.06
-0.02963066,-0.1
0.00020711459,-0.06
0.012721123,0.11
0.008120155,0.04
0.0010225904,-0.04
0.010033143,-0.03
0.0034899102,-0.01
-0.0073391083,-0.01
0.007617283,0.01
0.0021128855,-0.0
-0.00043248752,-0.04
-0.006041209,-0.03
0.0027928953,-0.02
0.010092962,0.0
0.0025695101,-0.0
-0.0032176236,0.05
0.011463424,-0.01
-0.00691265,0.05
0.0016627936,0.04
0.005900474,-0.01
-0.00655964,0.01
-0.0029043173,-0.01
-0.0073895957,-0.0
0.021756738,-0.09
-0.002542538,0.05
0.04356584,-0.16
-0.0006137837,0.13
0.006144433,-0.05
-0.00087592565,0.0
0.0015083532,0.0
0.00039025632,0.0
-0.003145819,-0.03
0.0027844408,0.02
-0.0005750136,0.03
0.0057517304,-0.01
0.00048243869,-0.0
-0.0012812115,-0.0
0.0011314999,0.03
9.055075e-06,0.02
0.007025042,-0.0
0.00022893777,0.02
-0.0032493863,-0.0
-0.0037063407,-0.09
0.0025819978,0.06
-0.0074888063,-0.0
-4.0163723e-05,-0.07
0.0064318627,-0.04
0.015886338,-0.01
-0.0028922274,0.02
-0.0028428542,0.01
-0.0038338332,-0.03
-0.0018033794,-0.03
-0.00033114007,0.01
0.007697043,-0.0
0.012593403,0.05
-0.0006263255,0.03
-0.0024475232,0.01
-0.0042134975,-0.03
-0.016134692,0.0
0.012817644,-0.0
-0.008725998,0.07
0.0007506473,0.01
-0.00468491,-0.0
0.0032676156,0.04
0.0044553345,0.05
0.0054210285,0.0
0.002604019,-0.06
-0.0005020934,-0.07
0.001923408,-0.01
-0.00023388735,-0.02
0.0075668017,-0.02
0.002352974,-0.01
-0.0039624004,-0.01
0.0076673236,0.0
-0.017324133,0.07
