candidate_a,candidate_b,label_a,label_b,individual_logit_sum,pair_feature_distance,pair_typicality_p,objective,rank,selected_pair
demo_0,demo_1,demo,demo,2.1605893172223065,1.3541425908639402,0.7231461591547516,2.079553337035561,1,True
demo_1,demo_2,demo,demo,-0.8239537932223528,1.8080097496267977,0.7228448401551307,-0.9050939645846057,2,False
demo_1,demo_4,demo,demo,-1.4902854464836397,1.9648782905535915,0.5687639117038131,-1.6313579087030268,3,False
demo_1,demo_3,demo,demo,-1.7286624474300776,1.614141916091749,0.912277291239393,-1.751615269357387,4,False
demo_0,demo_2,demo,demo,-1.8118332758775872,1.5583320604053426,0.972686890679523,-1.818756537489324,5,False
demo_0,demo_4,demo,demo,-2.478164929138874,1.6424098310813402,0.8756621728015863,-2.5113586566172827,6,False
demo_0,demo_3,demo,demo,-2.716541930085312,1.9173440295618591,0.6135438030345739,-2.838667834782954,7,False
demo_2,demo_4,demo,demo,-5.462708039583534,1.6433152642112245,0.8745346565449402,-5.496223878379288,8,False
demo_2,demo_3,demo,demo,-5.701085040529971,1.810860079777048,0.7201815689971909,-5.783148020430244,9,False
demo_3,demo_4,demo,demo,-6.367416693791258,2.3672894476692017,0.2011255722631001,-6.76837315088201,10,False
