label,robust_l2,robust_l2_pvalue,max_abs_z,mahalanobis,mahalanobis_pvalue,nearest_feature_distance,nearest_feature_pvalue,predicted_class
mask1,1.4059279577093389,0.22274143302180685,6.033500168626452,1.7368297743569447,0.0,1.2534105182278767,0.9984423676012462,generated
mask2,2.2957982166757587,0.003115264797507788,8.346897126063919,2.446194941795614,0.0,1.812299491263454,1.0,generated
mask3,0.9883049420189983,0.5700934579439252,4.047,0.5959655323113754,0.1043613707165109,0.26393482477292185,0.9688473520249221,real_like
mask4,0.9746719111735118,0.5919003115264797,3.3447659764450015,0.6277098865470516,0.08255451713395638,0.07394454110235496,0.3987538940809969,real_like
mask5,2.406026032122086,0.001557632398753894,6.744999999999999,2.0610569440450845,0.0,1.602771248319522,0.9984423676012462,generated
mask6,1.3634133224971523,0.2336448598130841,3.3972000340262216,0.4422129312460571,0.67601246105919,0.023639338309328406,0.0,real_like
mask7,0.9063191479821877,0.661993769470405,3.703392248687959,0.5324928892175507,0.1806853582554517,0.1531961613927313,0.8956386292834891,real_like
mask8,1.0347718957246475,0.4968847352024922,6.0138872415358335,1.4159462158099387,0.001557632398753894,1.0757188787217489,0.9984423676012462,generated
mask9,1.5623211585388692,0.2102803738317757,3.828630624999998,1.2228448743411053,0.001557632398753894,1.0045697646220844,0.9984423676012462,generated
mask10,0.7493286835426874,0.9003115264797508,2.9781769230769144,0.9644062998560973,0.003115264797507788,0.843890342863318,0.9984423676012462,generated
mask11,1.0352454231765562,0.4968847352024922,3.9660408628550345,1.3270388823386263,0.001557632398753894,1.0759809139025724,0.9984423676012462,generated
mask12,1.3230093185871912,0.24454828660436137,6.7488697559114055,8.131108765880805,0.0,1.240033028148413,0.9984423676012462,generated
mask13,2.713464450047206,0.001557632398753894,8.150976740503898,2.6963213802250228,0.0,2.1208331864664562,1.0,generated
mask14,0.8212079858358688,0.7912772585669782,3.770282051282051,7.940227055274247,0.0,0.9285552687890947,0.9984423676012462,generated
