label,rank,feature,robust_z
mask1,1,sp500_abs_acf_63,6.033500168626452
mask1,2,sp500_excess_kurtosis,4.448915564994292
mask1,3,DGS10_squared_acf_20,3.919063613094054
mask2,1,sp500_max_drawdown,-8.346897126063919
mask2,2,sp500_cumsum_range,8.106420187790736
mask2,3,sp500_cumsum_min,-7.584683126336908
mask3,1,DGS10_zero_fraction,4.047
mask3,2,DGS10_sign_switch_fraction,-2.683572192513367
mask3,3,abs_corr,-2.5961508766184136
mask4,1,sp500_squared_acf_1,3.3447659764450015
mask4,2,sp500_q_0.999,2.960558689145822
mask4,3,sp500_squared_acf_63,2.720424794077048
mask5,1,DGS10_q_0.9,6.744999999999999
mask5,2,DGS10_q_0.95,6.2728500000000205
mask5,3,sp500_cumsum_min,-5.789024958812978
mask6,1,sp500_roll20_vol_q95,3.3972000340262216
mask6,2,sp500_q_0.1,-3.2472270264663385
mask6,3,sp500_q_0.05,-3.1360238407371797
mask7,1,DGS10_q_0.5,-3.703392248687959
mask7,2,sp500_roll252_vol_q50,2.5183478552773417
mask7,3,sp500_roll63_vol_q50,1.9970624362437073
mask8,1,abs_corr,-6.0138872415358335
mask8,2,squared_corr,-3.8005869579052294
mask8,3,sp500_excess_kurtosis,2.94931539615726
mask9,1,DGS10_q_0.001,-3.828630624999998
mask9,2,DGS10_roll252_vol_q50,3.8059003305167276
mask9,3,sp500_cumsum_range,3.797448406925079
mask10,1,DGS10_max_drawdown,-2.9781769230769144
mask10,2,DGS10_cumsum_min,-2.7156570680628227
mask10,3,DGS10_cumsum_range,2.4156511627906885
mask11,1,crosscorr_DGS10_to_sp500_lag20,3.9660408628550345
mask11,2,abs_corr,-3.8177398353952867
mask11,3,DGS10_squared_acf_63,3.7242827893672477
mask12,1,crosscorr_DGS10_to_sp500_lag1,6.7488697559114055
mask12,2,sp500_roll63_vol_acf1,-5.210287451052278
mask12,3,sp500_roll252_vol_acf1,-4.403800430383494
mask13,1,sp500_max_drawdown,-8.150976740503898
mask13,2,sp500_cumsum_range,7.873395282610489
mask13,3,sp500_cumsum_min,-7.861181997597336
mask14,1,DGS10_zero_fraction,-3.770282051282051
mask14,2,DGS10_positive_fraction,2.3607500000000003
mask14,3,crosscorr_sp500_to_DGS10_lag20,2.316080274716204
