model,sp500_return_mean,sp500_return_std,sp500_return_skewness,sp500_return_excess_kurtosis,sp500_return_min,sp500_return_max,sp500_return_hill_tail_index_abs,sp500_return_jarque_bera_stat,sp500_return_jarque_bera_pvalue,sp500_return_q_0.01,sp500_return_q_0.05,sp500_return_q_0.1,sp500_return_q_0.5,sp500_return_q_0.9,sp500_return_q_0.95,sp500_return_q_0.99,sp500_return_var_0.01,sp500_return_es_0.01,sp500_return_var_0.05,sp500_return_es_0.05,bond_return_proxy_mean,bond_return_proxy_std,bond_return_proxy_skewness,bond_return_proxy_excess_kurtosis,bond_return_proxy_min,bond_return_proxy_max,bond_return_proxy_hill_tail_index_abs,bond_return_proxy_jarque_bera_stat,bond_return_proxy_jarque_bera_pvalue,bond_return_proxy_q_0.01,bond_return_proxy_q_0.05,bond_return_proxy_q_0.1,bond_return_proxy_q_0.5,bond_return_proxy_q_0.9,bond_return_proxy_q_0.95,bond_return_proxy_q_0.99,bond_return_proxy_var_0.01,bond_return_proxy_es_0.01,bond_return_proxy_var_0.05,bond_return_proxy_es_0.05,dep_correlation,dep_rolling_corr_mean,dep_rolling_corr_std,dep_rolling_corr_q05,dep_rolling_corr_q50,dep_rolling_corr_q95,dep_high_vol_correlation,dep_downside_correlation,dep_upside_correlation,dep_lower_tail_dependence_0.05,dep_upper_tail_dependence_0.95,path_id,sp500_return_mean_error,sp500_return_std_error,sp500_return_skewness_error,sp500_return_excess_kurtosis_error,sp500_return_min_error,sp500_return_max_error,sp500_return_hill_tail_index_abs_error,sp500_return_jarque_bera_stat_error,sp500_return_jarque_bera_pvalue_error,sp500_return_q_0.01_error,sp500_return_q_0.05_error,sp500_return_q_0.1_error,sp500_return_q_0.5_error,sp500_return_q_0.9_error,sp500_return_q_0.95_error,sp500_return_q_0.99_error,sp500_return_var_0.01_error,sp500_return_es_0.01_error,sp500_return_var_0.05_error,sp500_return_es_0.05_error,bond_return_proxy_mean_error,bond_return_proxy_std_error,bond_return_proxy_skewness_error,bond_return_proxy_excess_kurtosis_error,bond_return_proxy_min_error,bond_return_proxy_max_error,bond_return_proxy_hill_tail_index_abs_error,bond_return_proxy_jarque_bera_stat_error,bond_return_proxy_jarque_bera_pvalue_error,bond_return_proxy_q_0.01_error,bond_return_proxy_q_0.05_error,bond_return_proxy_q_0.1_error,bond_return_proxy_q_0.5_error,bond_return_proxy_q_0.9_error,bond_return_proxy_q_0.95_error,bond_return_proxy_q_0.99_error,bond_return_proxy_var_0.01_error,bond_return_proxy_es_0.01_error,bond_return_proxy_var_0.05_error,bond_return_proxy_es_0.05_error,dep_correlation_error,dep_rolling_corr_mean_error,dep_rolling_corr_std_error,dep_rolling_corr_q05_error,dep_rolling_corr_q50_error,dep_rolling_corr_q95_error,dep_high_vol_correlation_error,dep_downside_correlation_error,dep_upside_correlation_error,dep_lower_tail_dependence_0.05_error,dep_upper_tail_dependence_0.95_error
real,0.0003146504683046016,0.010551229375306977,-0.6791443881505909,18.80854066533371,-0.204669,0.10789,2.982513629707377,218155.5500317199,0.0,-0.028746149999999998,-0.01565335,-0.0108187,0.000463,0.011182800000000003,0.015544449999999991,0.0271101,-0.028746149999999998,-0.04206655405405406,-0.01565335,-0.02449332157394844,-2.1175512420252405e-06,0.005352045758887571,0.23262240328981582,8.395132080954392,-0.052,0.06,3.3755566068252865,43367.07076915072,0.0,-0.0152,-0.008,-0.0056,-0.0,0.0056,0.008,0.0152,-0.0152,-0.020005128205128207,-0.008,-0.0118576112412178,0.015433047511054811,0.05275143024452863,0.3485505091205645,-0.5329859224314474,0.1626564446590766,0.5409228197048302,-0.19068166506098178,-0.19747500877086038,-0.07349919543591756,0.10583446404341926,0.1383989145183175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adcc,0.00034495710564019804,0.010303440610626548,-0.08013460589376399,9.651914961391576,-0.07125333030618668,0.06873669288451477,3.1756718538230406,9940.273670183622,7.033933066142268e-36,-0.026199536030653663,-0.015005178221002821,-0.010830219887558189,0.00036884424796781805,0.011590828857582187,0.015643624122170196,0.02667477792495342,-0.026199536030653663,-0.037258676186344396,-0.015005178221002821,-0.022744395644716597,7.215103295376808e-08,0.005095825164384269,0.03759402112215121,4.228449416357255,-0.028952251055623105,0.029687321711010566,3.32711269993495,1141.494695951918,5.03674772974754e-24,-0.013429767322484226,-0.007772575274983493,-0.005686513570301179,-2.167053946336149e-05,0.005698448927534659,0.007812026470773317,0.013569131671969105,-0.013429767322484226,-0.017912793151570284,-0.007772575274983493,-0.011473684315910908,0.043639717021610284,0.04884930276741383,0.15756640955290174,-0.19439714840880012,0.048235284696187,0.2883405582035159,0.07259281208689984,0.0024072590483677496,-0.002957293296023283,0.0865079365079365,0.08492063492063492,49.5,3.0306637335596426e-05,-0.0002477887646804289,0.5990097822568269,-9.156625703942133,0.1334156696938133,-0.03915330711548523,0.19315822411566375,-208215.2763615363,7.033933066142268e-36,0.0025466139693463355,0.0006481717789971787,-1.1519887558188169e-05,-9.415575203218193e-05,0.0004080288575821836,9.917412217020499e-05,-0.00043532207504658194,0.0025466139693463355,0.004807877867709663,0.0006481717789971787,0.0017489259292318426,2.1897022749790087e-06,-0.0002562205945033022,-0.1950283821676646,-4.166682664597137,0.023047748944376893,-0.030312678288989432,-0.0484439068903364,-42225.576073198805,5.03674772974754e-24,0.0017702326775157744,0.00022742472501650728,-8.651357030117941e-05,-2.167053946336149e-05,9.844892753465943e-05,-0.00018797352922668344,-0.0016308683280308947,0.0017702326775157744,0.0020923350535579227,0.00022742472501650728,0.0003839269253068916,0.028206669510555473,-0.0039021274771147973,-0.19098409956766277,0.33858877402264725,-0.11442115996288961,-0.25258226150131435,0.2632744771478816,0.19988226781922813,0.07054190213989427,-0.01932652753548275,-0.05347827959768259
circular_block_20,0.00036370202380952383,0.010434167327989852,-0.5150295049969008,13.484937868893162,-0.08150772999999999,0.06749539,3.2276279464795268,29271.877614141693,8.558031963969014e-21,-0.027903718400000003,-0.01553458,-0.010676861,0.0004945700000000001,0.011204408000000006,0.015618542499999994,0.027604070300000064,-0.027903718400000003,-0.040385597912087914,-0.01553458,-0.02409918163549298,1.667301587301589e-05,0.005275446370363685,0.1768114023115707,7.772206230292372,-0.032671999999999986,0.037368,3.1767700681391617,4265.890583989923,1.5721915735887655e-33,-0.014519279999999999,-0.007986799999999999,-0.0055856,0.0,0.0054896000000000025,0.007930799999999998,0.014509440000000031,-0.014519279999999999,-0.019296293550240606,-0.007986799999999999,-0.011808617038357174,0.012565453878296147,0.014560580280289045,0.13653882313895996,-0.20161546461792315,0.012998931746479465,0.23068645662256415,-0.025966825433457658,-0.18705264523817752,-0.07310573881460031,0.11453636294261293,0.13381200396825396,49.5,4.9051555504922215e-05,-0.00011706204731712529,0.16411488315369005,-5.323602796440547,0.12316127,-0.04039461,0.2451143167721499,-188883.6724175782,8.558031963969014e-21,0.0008424315999999953,0.00011877000000000068,0.00014183900000000124,3.157000000000008e-05,2.160800000000282e-05,7.409250000000277e-05,0.0004939703000000628,0.0008424315999999953,0.0016809561419661445,0.00011877000000000068,0.00039413993845546086,1.8790567115041127e-05,-7.659938852388679e-05,-0.05581100097824512,-0.6229258506620203,0.019328000000000012,-0.022632,-0.19878653868612473,-39101.180185160796,1.5721915735887655e-33,0.000680720000000001,1.3200000000001405e-05,1.440000000000035e-05,0.0,-0.00011039999999999748,-6.92000000000019e-05,-0.0006905599999999686,0.000680720000000001,0.0007088346548876009,1.3200000000001405e-05,4.899420286062599e-05,-0.002867593632758665,-0.03819084996423958,-0.21201168598160455,0.33137045781352426,-0.14965751291259716,-0.3102363630822661,0.16471483962752412,0.01042236353268286,0.000393456621317248,0.008701898899193677,-0.00458691055006355
dcc,0.00031106381703952305,0.010220871209293906,0.0853251371145582,9.802162992540671,-0.06938173544361231,0.07229968085755246,3.25635865002103,12044.085640368057,2.12139923398764e-30,-0.025805844227296905,-0.014966098088037528,-0.010820818078919632,0.0003032830731988051,0.011506366325271425,0.015538041828008983,0.026100741016588987,-0.025805844227296905,-0.036421388846573734,-0.014966098088037528,-0.02242159264424207,6.416211159483878e-06,0.005098366095048304,0.05164705740434239,4.300595899403091,-0.028753287718048602,0.029866101914633857,3.3570091941103533,1193.626120595414,7.887107491564287e-27,-0.013301262537487384,-0.007822256596029984,-0.005692504880973551,3.9893744682728475e-06,0.0057013074829772754,0.007804812645493542,0.013473999044001579,-0.013301262537487384,-0.017819780787427658,-0.007822256596029984,-0.011453265878977714,0.05862170609926119,0.05808503994334088,0.15406826751962707,-0.17988031694067924,0.05572539447808296,0.2954277865987372,0.06945583784893407,0.026252333855687288,0.020897637216462494,0.09587301587301587,0.09507936507936508,49.5,-3.5866512650785712e-06,-0.0003303581660130707,0.7644695252651491,-9.006377672793038,0.13528726455638768,-0.035590319142447535,0.2738450203136531,-206111.46439135185,2.12139923398764e-30,0.002940305772703093,0.0006872519119624724,-2.1180789196318522e-06,-0.00015971692680119489,0.00032356632527142173,-6.408171991007655e-06,-0.0010093589834110142,0.002940305772703093,0.005645165207480325,0.0006872519119624724,0.0020717289297063693,8.533762401509118e-06,-0.0002536796638392671,-0.18097534588547343,-4.094536181551301,0.023246712281951395,-0.03013389808536614,-0.01854741271493321,-42173.444648555305,7.887107491564287e-27,0.001898737462512616,0.00017774340397001646,-9.250488097355125e-05,3.9893744682728475e-06,0.0001013074829772755,-0.00019518735450645835,-0.0017260009559984212,0.001898737462512616,0.0021853474177005484,0.00017774340397001646,0.00040434536224008555,0.04318865858820638,0.005333609698812254,-0.19448224160093744,0.35310560549076814,-0.10693105018099365,-0.24549503310609305,0.26013750290991583,0.22372734262654767,0.09439683265238005,-0.009961448170403384,-0.04331954943895243
dynamic_gaussian_copula,0.0003225365550920157,0.010450861373613752,-0.34883578303820945,10.936663884766958,-0.07939269380042685,0.07057291810740017,3.071631235573375,11757.477766689752,2.7012808243337174e-77,-0.028106266925351522,-0.015674361359567,-0.010757566823624744,0.0004662787797233375,0.011174107614590967,0.015577352919315245,0.027088126558439216,-0.028106266925351522,-0.04092271664171087,-0.015674361359567,-0.024378437752253998,-1.0933157820862402e-05,0.005338282299420854,0.19843974475167175,7.6642011007775475,-0.03160537047145592,0.038543245786965726,3.068879837777428,3809.41354929653,5.066421880333356e-80,-0.015106043026093712,-0.008110052455244132,-0.0056648,0.0,0.00553784495303112,0.007826399999999997,0.014533642142675123,-0.015106043026093712,-0.019647004501539177,-0.008110052455244132,-0.012064514552458945,0.03256989980374809,0.03344886158509315,0.11569133281225266,-0.1468110389192871,0.03762348962130273,0.21024405180924366,0.05493318200502348,0.017899627432420538,0.002780492599714849,0.09380952380952381,0.08777777777777777,49.5,7.886086787414087e-06,-0.0001003680016932254,0.3303086051123814,-7.871876780566751,0.12527630619957314,-0.03731708189259983,0.08911760586599815,-206398.07226503015,2.7012808243337174e-77,0.0006398830746484757,-2.1011359566999038e-05,6.113317637525609e-05,3.278779723337496e-06,-8.692385409035663e-06,3.2902919315253715e-05,-2.1973441560785983e-05,0.0006398830746484757,0.001143837412343189,-2.1011359566999038e-05,0.00011488382169444131,-8.815606578837161e-06,-1.3763459466717247e-05,-0.03418265853814406,-0.7309309801768444,0.02039462952854408,-0.021456754213034272,-0.3066767690478587,-39557.65721985419,5.066421880333356e-80,9.395697390628815e-05,-0.0001100524552441317,-6.480000000000027e-05,0.0,-6.215504696887968e-05,-0.00017360000000000292,-0.0006663578573248771,9.395697390628815e-05,0.0003581237035890292,-0.0001100524552441317,-0.0002069033112411453,0.017136852292693277,-0.019302568659435478,-0.23285917630831185,0.3861748835121603,-0.1250329550377739,-0.3306787678955866,0.24561484706600525,0.21537463620328093,0.0762796880356324,-0.012024940233895443,-0.05062113674053974
empirical_regime,0.00036099604761904763,0.01039948701141966,-0.5051239987968478,12.29041454990714,-0.08014355000000001,0.06526677,3.184602030831111,27686.440572635376,1.1068348169983572e-18,-0.0279566936,-0.015623422999999999,-0.010789371999999998,0.00050366,0.011283313000000008,0.015708765,0.027101997000000055,-0.0279566936,-0.04045207483516483,-0.015623422999999999,-0.024158668927083335,-1.0019047619047603e-05,0.005347336915750844,0.12116485108024885,7.68865098074657,-0.033552,0.03712,3.1254196463206534,3972.6235938592954,1.2431558055710905e-32,-0.01484216,-0.0080996,-0.0056672,0.0,0.005555200000000005,0.007937999999999999,0.014874960000000038,-0.01484216,-0.01970514139194139,-0.0080996,-0.012010814093176805,0.03613111774564624,0.04959427769868828,0.1761466710652327,-0.23214364033116452,0.061620746650218515,0.30401422005198,-0.050318944796133275,-0.16376498414672983,-0.025152880572863804,0.11709943528693528,0.14272050865800867,49.5,4.6345579314446014e-05,-0.0001517423638873177,0.1740203893537431,-6.518126115426568,0.12452544999999998,-0.04262323,0.20208840112373405,-190469.10945908452,1.1068348169983572e-18,0.0007894563999999993,2.9927000000000772e-05,2.9328000000002075e-05,4.065999999999998e-05,0.0001005130000000052,0.00016431500000000862,-8.102999999946847e-06,0.0007894563999999993,0.0016144792188892282,2.9927000000000772e-05,0.0003346526468651044,-7.901496377022362e-06,-4.708843136727071e-06,-0.11145755220956696,-0.7064811002078217,0.018448,-0.022879999999999998,-0.2501369605046331,-39394.447175291425,1.2431558055710905e-32,0.0003578399999999999,-9.960000000000004e-05,-6.71999999999999e-05,0.0,-4.479999999999502e-05,-6.200000000000129e-05,-0.00032503999999996223,0.0003578399999999999,0.0002999868131868151,-9.960000000000004e-05,-0.00015320285195900493,0.020698070234591432,-0.0031571525458403485,-0.1724038380553318,0.30084228210028285,-0.10103569800885809,-0.23690859965285027,0.1403627202648485,0.03371002462413056,0.048346314863053755,0.011264971243516025,0.0043215941396911595
gaussian_copula,0.00030655469136638846,0.010422684002502756,-0.26646498609209873,10.320583951223961,-0.07664361920544137,0.07095692105554224,3.071859229280177,10473.08872453904,2.3722677987688936e-41,-0.02808620233672411,-0.01568440111761325,-0.010794772389412132,0.00044340199744917936,0.011119479083712198,0.01561762582734751,0.027373718746507146,-0.02808620233672411,-0.040273753492888024,-0.01568440111761325,-0.024239608489488817,-1.1615771129711887e-05,0.005329574895294026,0.23686451680901238,7.43593083876915,-0.0314211024789018,0.038246604493922906,3.064558345994549,3448.7494045213903,1.2059916159871169e-103,-0.01481526666073611,-0.008194321097373699,-0.005636521967373656,0.0,0.0054896000000000025,0.007814476544722775,0.01475187021214263,-0.01481526666073611,-0.01941688309097297,-0.008194321097373699,-0.011998540564988357,0.02553682077427645,0.025297577377687574,0.05224964081646687,-0.058239400480555654,0.0251624563343295,0.10923070529489547,0.02270088629581149,0.008078543304521207,0.007978420189785214,0.06301587301587301,0.06094246031746032,49.5,-8.095776938213156e-06,-0.00012854537280422053,0.41267940205849213,-8.487956714109748,0.1280253807945586,-0.036933078944457756,0.08934559957280008,-207682.46130718087,2.3722677987688936e-41,0.0006599476632758866,-3.105111761324969e-05,2.3927610587868436e-05,-1.9598002550820623e-05,-6.33209162878047e-05,7.31758273475186e-05,0.0002636187465071445,0.0006599476632758866,0.0017928005611660344,-3.105111761324969e-05,0.0002537130844596225,-9.498219887686646e-06,-2.2470863593545762e-05,0.004242113519196566,-0.9592012421852418,0.020578897521098198,-0.02175339550607709,-0.31099826083073756,-39918.32136462933,1.2059916159871169e-103,0.0003847333392638895,-0.00019432109737369842,-3.65219673736563e-05,0.0,-0.00011039999999999748,-0.00018552345527722558,-0.00044812978785736986,0.0003847333392638895,0.000588245114155235,-0.00019432109737369842,-0.00014092932377055695,0.010103773263221639,-0.027453852866841055,-0.29630086830409763,0.47474652195089173,-0.1374939883247471,-0.43169211440993477,0.21338255135679327,0.2055535520753816,0.08147761562570277,-0.042818591027546246,-0.0774564542008572
iid_bootstrap,0.0003494954206349207,0.010521598031044079,-0.6276744652256414,15.305663873425834,-0.08950402,0.07062072999999999,3.035140690333276,32719.675414587287,2.7868070653670565e-83,-0.0280336872,-0.015591257999999998,-0.010695037000000001,0.00049737,0.011218656000000007,0.015581640499999995,0.027231211600000065,-0.0280336872,-0.04151048450549451,-0.015591257999999998,-0.02443416031772741,2.1993650793650812e-05,0.005349002867068087,0.22613690636428668,7.966370977183763,-0.03260799999999999,0.039015999999999995,3.06353516920572,4134.674469074365,3.844726824409042e-70,-0.01480032,-0.0080272,-0.0056096,0.0,0.005541600000000008,0.007913199999999999,0.014748400000000036,-0.01480032,-0.019506774742285574,-0.0080272,-0.011907351362119173,0.011579005744896032,0.015246608518141795,0.08491468412667239,-0.11993855423928043,0.015275936219745427,0.1523074718354358,-0.01730611488903651,-0.2237246058654825,-0.09032008804966855,0.10066266025641026,0.1372470238095238,49.5,3.484495233031906e-05,-2.963134426289815e-05,0.05146992292494945,-3.502876791907875,0.11516497999999999,-0.03726927000000001,0.05262706062589917,-185435.87461713262,2.7868070653670565e-83,0.0007124627999999973,6.209200000000144e-05,0.00012366299999999955,3.437000000000004e-05,3.5856000000004246e-05,3.719050000000439e-05,0.00012111160000006366,0.0007124627999999973,0.0005560695485595513,6.209200000000144e-05,5.916125622102905e-05,2.411120203567605e-05,-3.0428918194845556e-06,-0.006485496925529133,-0.42876110377062915,0.019392000000000006,-0.020984000000000003,-0.31202143761956647,-39232.396300076354,3.844726824409042e-70,0.0003996799999999995,-2.7199999999999794e-05,-9.600000000000233e-06,0.0,-5.839999999999231e-05,-8.680000000000146e-05,-0.0004515999999999635,0.0003996799999999995,0.0004983534628426323,-2.7199999999999794e-05,-4.974012090137349e-05,-0.0038540417661587795,-0.03750482172638683,-0.26363582499389215,0.4130473681921669,-0.14738050843933118,-0.38861534786939445,0.17337555017194528,-0.02624959709462213,-0.016820892613751,-0.005171803787009002,-0.001151890708793707
moving_block_20,0.0003398958650793651,0.010338241124439072,-0.42796651019763493,10.986715067736448,-0.07485716,0.06379127999999999,3.211055415011298,21266.585870595845,3.3585524860267903e-14,-0.027965905699999998,-0.015551921,-0.010773656,0.0004986,0.011131739000000007,0.015600498999999997,0.027260191400000064,-0.027965905699999998,-0.03965387620879121,-0.015551921,-0.02398509074900794,-2.2926984126984115e-05,0.005296182264594992,0.21660533416862862,7.733189207339792,-0.03235199999999999,0.036936,3.1142622298564064,4222.577973365839,3.9111137210328063e-50,-0.01462168,-0.0080128,-0.0056176,0.0,0.005451200000000004,0.007813199999999996,0.014439280000000033,-0.01462168,-0.019202342289736406,-0.0080128,-0.011869791616001844,0.019340114262672008,0.028914531236446762,0.13123868262886565,-0.18840872579978934,0.03654404508617351,0.23310116908802056,0.013005682926309823,-0.19092413756165416,-0.07257930228884829,0.10475694444444444,0.13783482142857142,49.5,2.5245396774763455e-05,-0.00021298825086790533,0.25117787795295593,-7.821825597597261,0.12981183999999998,-0.04409872000000001,0.22854178530392133,-196888.96416112405,3.3585524860267903e-14,0.0007802442999999999,0.0001014290000000001,4.504400000000103e-05,3.56e-05,-5.1060999999996345e-05,5.604900000000593e-05,0.00015009140000006235,0.0007802442999999999,0.002412677845262848,0.0001014290000000001,0.0005082308249404997,-2.0809432884958873e-05,-5.58634942925797e-05,-0.016017069121187194,-0.6619428736146,0.019648000000000006,-0.023064,-0.26129437696888,-39144.49279578488,3.9111137210328063e-50,0.0005783200000000002,-1.2800000000000311e-05,-1.7600000000000428e-05,0.0,-0.0001487999999999958,-0.00018680000000000432,-0.0007607199999999665,0.0005783200000000002,0.0008027859153918009,-1.2800000000000311e-05,-1.21803747840446e-05,0.003907066751617196,-0.023836899008081867,-0.21731182649169886,0.34457719663165803,-0.1261123995729031,-0.30782165061680966,0.2036873479872916,0.006550871209206222,0.0009198931470692645,-0.0010775195989748132,-0.0005640930897460872
stationary_20,0.0003220157698412698,0.01035101151618426,-0.4366721603633721,12.238585267369347,-0.07455764,0.06532619,3.1957504081620014,27275.970333067282,5.41423287579724e-32,-0.0285641393,-0.0154324125,-0.010611058,0.00046701,0.011059165000000006,0.015521183999999997,0.02740767160000005,-0.0285641393,-0.03998699697802197,-0.0154324125,-0.024096116063988093,1.5174603174603193e-05,0.005249656391412934,0.19114752903972382,7.197246860045907,-0.031119999999999988,0.03568,3.161807430958612,3889.721921024116,2.0343439252347157e-47,-0.01432176,-0.0079872,-0.0055872,0.0,0.005512800000000001,0.007825999999999998,0.014551280000000033,-0.01432176,-0.01889742975651799,-0.0079872,-0.011650133990466572,0.013197960771935302,0.016890663313225782,0.15155942226169253,-0.22703688858809604,0.018307665493955894,0.2555040191757012,-0.018739769600793457,-0.21202507738724788,-0.076059818391978,0.10359126984126985,0.1439788614163614,49.5,7.3653015366682015e-06,-0.00020021785912271647,0.24247222778721877,-6.569955397964362,0.13011136,-0.042563809999999994,0.21323677845462452,-190879.5796986526,5.41423287579724e-32,0.00018201069999999875,0.00022093750000000065,0.00020764200000000094,4.010000000000038e-06,-0.00012363499999999694,-2.3265999999994014e-05,0.0002975716000000496,0.00018201069999999875,0.002079557076032086,0.00022093750000000065,0.00039720550996034595,1.7292154416628433e-05,-0.00010238936747463713,-0.041474874250092,-1.1978852209084847,0.02088000000000001,-0.024319999999999994,-0.21374917586667452,-39477.3488481266,2.0343439252347157e-47,0.0008782400000000006,1.2800000000000311e-05,1.2800000000000311e-05,0.0,-8.719999999999908e-05,-0.00017400000000000228,-0.0006487199999999672,0.0008782400000000006,0.0011076984486102157,1.2800000000000311e-05,0.00020747725075122812,-0.0022350867391195094,-0.03586076693130284,-0.19699108685887198,0.30594903384335137,-0.1443487791651207,-0.28541880052912905,0.17194189546018832,-0.014550068616387496,-0.0025606229560604515,-0.0022431942021494122,0.0055799468980438915
